"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"02/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"6.131.852,43";"51.772.587,03";"51.775.714,39";"7.467.824,06";
"08/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"69.062.684,49";"56.831.667,92";"57.399.616,95";"40.428,51";
"04/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"90.466.483,21";"63.213.858,20";"62.615.653,69";"449.004,12";
"03/2022";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"101.419.450,66";"55.314.764,60";"55.281.090,40";"1.398.327,91";
"04/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"22.177.644,63";"13.888.847,90";"13.506.166,68";"4.947.622,14";
"09/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"4.572.714,77";"1.104.928,26";"6.830.140,87";"562.439,93";
"03/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"2.152.494,26";"13.768.864,18";"13.981.859,75";"4.103.877,61";
"06/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"15.252.674,95";"34.489.136,76";"32.459.078,88";"1.950.758,15";
"02/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"19.365.873,88";"11.397.612,06";"11.481.801,38";"2.391.994,72";
"07/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"16.227.888,96";"43.042.111,71";"43.862.462,28";"141.812,54";
"05/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"26.274.103,77";"29.699.648,16";"29.770.731,05";"7.304.020,15";
"08/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"10.631.374,44";"44.907.562,68";"45.963.713,57";"5.176.167,34";
"01/2022";"53000 - Ministério do Desenvolvimento Regional";"44205 - Agência Nacional de Águas";"224.360.807,09";"8.691.203,64";"3.133.720,87";"11.480.061,81";
"02/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"4.751.663,21";"7.799.987,72";"7.688.403,47";"187.165,32";
"09/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"- 380.815,47";"414.731,28";"5.574.180,23";"0,00";
"04/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"422.868.475,59";"9.164.460,41";"9.292.805,40";"102.025.147,74";
"07/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"6.752.567,76";"9.441.479,70";"11.469.669,02";"106.949.375,63";
"08/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"2.214.960,10";"10.267.086,87";"9.680.206,54";"55.105,15";
"06/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"3.526.439,00";"11.079.316,14";"9.065.428,10";"100.363.696,00";
"01/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"97.449.690,81";"7.594.678,54";"2.795.537,37";"7.092.761,52";
"05/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"963.277,21";"9.363.725,14";"9.438.156,82";"100.337.374,14";
"03/2022";"54000 - Ministério do Turismo";"20203 - Agência Nacional do Cinema";"1.076.317,35";"10.339.197,90";"10.244.763,31";"515.781,86";
"07/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.742.015.762,27";"3.766.403.694,49";"3.770.976.977,12";"168.153,80";
"09/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"2.448.171,78";"1.853.589,46";"13.923.179,35";"65.898,43";
"03/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.459.369.088,50";"3.478.621.646,90";"3.477.739.937,73";"1.360.327,68";
"04/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.161.334.925,69";"3.168.073.133,18";"3.165.181.046,41";"3.812.436,51";
"05/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"19.272.637.215,24";"19.261.641.415,73";"19.265.481.145,56";"959.797,75";
"01/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"272.005.903,88";"26.289.215,64";"12.987.320,35";"2.977.477.237,48";
"02/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.669.142.311,20";"3.692.218.818,94";"3.692.180.850,44";"5.361.922.819,26";
"06/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.358.458.886,63";"3.371.658.071,21";"3.366.981.444,89";"2.322.358,38";
"08/2022";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"10.456.811.938,51";"10.478.912.320,03";"10.479.153.222,91";"286.125,04";
"04/2022";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"- 201.564.111,29";"39.895.317,89";"40.036.505,96";"6.338.878,01";
